"log_id";"user";"trial";"new_answer";"new_certitude";"cant_answer";"isImprecis";"aHistory";"cHistory"
"145";"44792967";"0";"""Mesange nonnette""";"6";"0";"1";"""[""Mesange nonnette""]""";"""[""6""]"""
"158";"44792967";"1";"[""Choucas des tours"",""Corneille noire""]";"6";"0";"0";"""[""Corneille noire""]""";"""[""6"",""6"",""7"",""6""]"""
"166";"44792967";"2";"""Mesange noire""";"6";"0";"1";"""[""Mesange noire""]""";"""[""6""]"""
"180";"44792967";"10";"""Mesange nonnette""";"6";"0";"1";"""[""Mesange nonnette""]""";"""[""6""]"""
"187";"44792967";"11";"""Choucas des tours""";"6";"0";"1";"""[""Choucas des tours""]""";"""[""6""]"""
"191";"44792967";"12";"""Mesange nonnette""";"6";"0";"1";"""[""Mesange nonnette""]""";"""[""6""]"""
"787";"302122643";"0";"""Mesange noire""";"3";"0";"1";"""[""Mesange noire""]""";"""[""3""]"""
"794";"302122643";"1";"[""Corbeau freux"",""Pigeon biset""]";"3";"0";"1";"""[""Corbeau freux"",""Pigeon biset""]""";"""[""3""]"""
"799";"302122643";"2";"""Mesange noire""";"4";"0";"1";"""[""Mesange noire""]""";"""[""4""]"""
"801";"302122643";"4";"""Mesange nonnette""";"3";"0";"1";"""[""Mesange nonnette""]""";"""[""3""]"""
"804";"302122643";"5";"""Corbeau freux""";"4";"0";"1";"""[""Corbeau freux""]""";"""[""4""]"""
"806";"302122643";"6";"[""Grand corbeau"",""Corneille noire""]";"6";"0";"1";"""[""Grand corbeau"",""Corneille noire""]""";"""[""6""]"""
"808";"302122643";"10";"[""Mesange nonnette"",""Mesange charbonniere""]";"5";"0";"1";"""[""Mesange charbonniere"",""Mesange nonnette""]""";"""[""5""]"""
"810";"302122643";"11";"""Mesange noire""";"2";"0";"1";"""[""Mesange noire""]""";"""[""2""]"""
"812";"302122643";"12";"""Mesange noire""";"2";"0";"1";"""[""Mesange noire""]""";"""[""2""]"""
"814";"302122643";"14";"[""Mesange nonnette"",""Mesange charbonniere""]";"4";"0";"1";"""[""Mesange charbonniere"",""Mesange nonnette""]""";"""[""4""]"""
"815";"302122643";"15";"""Choucas des tours""";"4";"0";"1";"""[""Choucas des tours""]""";"""[""4""]"""
"817";"302122643";"16";"""Corneille noire""";"4";"0";"1";"""[""Corneille noire""]""";"""[""4""]"""
"819";"302122643";"17";"""Pigeon ramier""";"5";"0";"1";"""[""Pigeon ramier""]""";"""[""5""]"""
"820";"302122643";"18";"""Corbeau freux""";"4";"0";"1";"""[""Corbeau freux""]""";"""[""4""]"""
"94";"358845585";"0";"";NULL;"1";"1";"";""
"98";"358845585";"1";"""Corbeau freux""";"2";"0";"1";"""[""Corbeau freux""]""";"""[""2""]"""
"101";"358845585";"2";"";NULL;"1";"1";"";""
"104";"358845585";"3";"";NULL;"1";"1";"";""
"106";"358845585";"4";"";NULL;"1";"1";"";""
"110";"358845585";"5";"""Corbeau freux""";"1";"0";"1";"""[""Corbeau freux""]""";"""[""1""]"""
"117";"358845585";"6";"[""Grand corbeau"",""Corbeau freux""]";"5";"0";"0";"""[""Corbeau freux""]""";"""[""5""]"""
"120";"358845585";"7";"";NULL;"1";"1";"";""
"125";"358845585";"8";"[""Grand corbeau"",""Corbeau freux""]";"6";"0";"0";"""[""Corbeau freux""]""";"""[""6""]"""
"128";"358845585";"9";"";NULL;"1";"0";"";""
"136";"358845585";"10";"";NULL;"1";"1";"";""
"138";"358845585";"11";"";NULL;"1";"1";"";""
"141";"358845585";"12";"";NULL;"1";"1";"";""
