"log_id";"user";"currenttrial";"img";"goodanswer";"answer";"answerhistory";"isgoodanswer";"certitude";"certitudeHistory";"timestamp";"time"
"2";"245806291";"0";"12";"Choucas des tours";"[""Corbeau freux""]";"""[""Corbeau freux""]""";"0";"6";"""[""6""]""";"1674471538443";"6660"
"3";"245806291";"1";"21";"Corbeau freux";"[""Choucas des tours""]";"""[""Choucas des tours""]""";"0";"6";"""[""6""]""";"1674471538443";"11536"
"4";"245806291";"2";"14";"Choucas des tours";"[""Corbeau freux""]";"""[""Corbeau freux""]""";"0";"6";"""[""6""]""";"1674471538443";"16223"
"5";"245806291";"3";"22";"Corbeau freux";"[""Choucas des tours""]";"""[""Choucas des tours""]""";"0";"6";"""[""6""]""";"1674471538443";"20126"
"6";"1778197741";"0";"0";"Choucas des tours";"[""Choucas des tours""]";"""[""Choucas des tours""]""";"1";"5";"""[""5""]""";"1674471551869";"12343"
"7";"1778197741";"1";"1";"Corbeau freux";"[""Corbeau freux""]";"""[""Corbeau freux""]""";"1";"4";"""[""4""]""";"1674471551869";"18232"
"8";"1778197741";"2";"2";"Choucas des tours";"[""Choucas des tours""]";"""[""Choucas des tours""]""";"1";"5";"""[""5""]""";"1674471551869";"22776"
"9";"1778197741";"3";"5";"Corbeau freux";"[""Corbeau freux""]";"""[""Corbeau freux""]""";"1";"5";"""[""5""]""";"1674471551869";"27096"
"10";"2107165934";"0";"17";"Choucas des tours";"[""Corbeau freux""]";"""[""Corbeau freux""]""";"0";"7";"""[""7""]""";"1674471637337";"10517"
"11";"2107165934";"1";"23";"Corbeau freux";"[""Corbeau freux""]";"""[""Corbeau freux""]""";"1";"6";"""[""6""]""";"1674471637337";"15671"
"12";"2107165934";"2";"18";"Choucas des tours";"[""Corbeau freux""]";"""[""Corbeau freux""]""";"0";"5";"""[""5""]""";"1674471637337";"24115"
"13";"2107165934";"3";"25";"Corbeau freux";"[""Corbeau freux""]";"""[""Corbeau freux""]""";"1";"5";"""[""5""]""";"1674471637337";"27670"
"14";"412272563";"0";"28";"Choucas des tours";"[""Corbeau freux""]";"""[""Choucas des tours"",""Corbeau freux"",""Corbeau freux"",""Choucas des tours""]""";"0";"6";"""[""6"",""6""]""";"1674471677751";"36132"
"15";"412272563";"1";"29";"Corbeau freux";"[""Corbeau freux""]";"""[""Corbeau freux""]""";"1";"5";"""[""5""]""";"1674471677751";"49247"
"16";"412272563";"2";"35";"Choucas des tours";"[""Choucas des tours""]";"""[""Choucas des tours""]""";"1";"5";"""[""5""]""";"1674471677751";"58113"
"17";"412272563";"3";"30";"Corbeau freux";"[""Corbeau freux""]";"""[""Corbeau freux""]""";"1";"6";"""[""6""]""";"1674471677751";"64633"
"18";"1759805660";"0";"3";"Choucas des tours";"[""Corbeau freux""]";"""[""Corbeau freux""]""";"0";"2";"""[""2""]""";"1674471986303";"8288"
"19";"1759805660";"1";"9";"Corbeau freux";"[""Corbeau freux""]";"""[""Corbeau freux""]""";"1";"2";"""[""2""]""";"1674471986303";"18122"
"20";"1759805660";"2";"4";"Choucas des tours";"[""Choucas des tours""]";"""[""Choucas des tours""]""";"1";"3";"""[""3""]""";"1674471986303";"24160"
"21";"1759805660";"3";"10";"Corbeau freux";"[""Corbeau freux""]";"""[""Corbeau freux""]""";"1";"2";"""[""3"",""2""]""";"1674471986303";"30894"
"26";"337988804";"0";"36";"Choucas des tours";"[""Corbeau freux""]";"""[""Corbeau freux""]""";"0";"5";"""[""5""]""";"1674472032193";"21169"
"27";"337988804";"1";"31";"Corbeau freux";"[""Corbeau freux""]";"""[""Corbeau freux""]""";"1";"5";"""[""5""]""";"1674472032193";"28806"
"28";"337988804";"2";"37";"Choucas des tours";"[""Choucas des tours""]";"""[""Choucas des tours""]""";"1";"4";"""[""4""]""";"1674472032193";"46672"
"29";"337988804";"3";"32";"Corbeau freux";"[""Choucas des tours""]";"""[""Choucas des tours""]""";"0";"5";"""[""5""]""";"1674472032193";"54899"
"30";"50628889";"0";"6";"Choucas des tours";"[""Choucas des tours""]";"""[""Choucas des tours""]""";"1";"7";"""[""7""]""";"1674472116482";"11178"
"31";"50628889";"1";"13";"Corbeau freux";"[""Corbeau freux""]";"""[""Corbeau freux""]""";"1";"7";"""[""7""]""";"1674472116482";"17183"
"32";"2029674061";"0";"20";"Choucas des tours";"[""Corbeau freux""]";"""[""Corbeau freux""]""";"0";"6";"""[""6""]""";"1674472121652";"13925"
"33";"2029674061";"1";"26";"Corbeau freux";"[""Choucas des tours""]";"""[""Choucas des tours""]""";"0";"6";"""[""6""]""";"1674472121652";"22231"
"34";"50628889";"2";"7";"Choucas des tours";"[""Choucas des tours""]";"""[""Choucas des tours""]""";"1";"7";"""[""7""]""";"1674472116482";"28177"
"35";"50628889";"3";"15";"Corbeau freux";"[""Corbeau freux""]";"""[""Corbeau freux""]""";"1";"7";"""[""7""]""";"1674472116482";"34576"
"36";"2029674061";"2";"24";"Choucas des tours";"[""Corbeau freux""]";"""[""Corbeau freux""]""";"0";"6";"""[""6""]""";"1674472121652";"31849"
"37";"2029674061";"3";"27";"Corbeau freux";"[""Choucas des tours""]";"""[""Choucas des tours""]""";"0";"6";"""[""6""]""";"1674472121652";"37005"
"38";"1695912071";"0";"38";"Choucas des tours";"[""Choucas des tours"",""Corbeau freux""]";"""[""Corbeau freux"",""Choucas des tours""]""";"1";"7";"""[""7""]""";"1674472401947";"21504"
"39";"1695912071";"1";"33";"Corbeau freux";"[""Corbeau freux""]";"""[""Corbeau freux""]""";"1";"7";"""[""7""]""";"1674472401947";"40390"
"40";"1130519644";"0";"38";"Choucas des tours";"[""Corbeau freux""]";"""[""Corbeau freux"",""Corbeau freux""]""";"0";"7";"""[""7""]""";"1674472433974";"8681"
"41";"1130519644";"1";"33";"Corbeau freux";"[""Corbeau freux""]";"""[""Corbeau freux""]""";"1";"7";"""[""7""]""";"1674472433974";"12522"
"42";"1130519644";"2";"39";"Choucas des tours";"[""Corbeau freux""]";"""[""Corbeau freux""]""";"0";"7";"""[""7""]""";"1674472433974";"14939"
"43";"1695912071";"2";"39";"Choucas des tours";"[""Choucas des tours""]";"""[""Choucas des tours""]""";"1";"7";"""[""7""]""";"1674472401947";"47130"
"44";"1130519644";"3";"34";"Corbeau freux";"[""Corbeau freux""]";"""[""Corbeau freux""]""";"1";"7";"""[""7""]""";"1674472433974";"16801"
"45";"1695912071";"3";"34";"Corbeau freux";"[""Corbeau freux""]";"""[""Corbeau freux""]""";"1";"6";"""[""6""]""";"1674472401947";"54032"
"46";"1218008005";"0";"8";"Choucas des tours";"[""Corbeau freux"",""Choucas des tours""]";"""[""Corbeau freux"",""Choucas des tours"",""Corbeau freux"",""Choucas des tours""]""";"1";"3";"""[""6"",""4"",""5"",""4"",""3""]""";"1674472424696";"43293"
"47";"1218008005";"1";"16";"Corbeau freux";"[""Corbeau freux"",""Choucas des tours""]";"""[""Choucas des tours"",""Corbeau freux""]""";"1";"3";"""[""3""]""";"1674472424696";"85406"
