"log_id";"user";"currenttrial";"img";"goodanswer";"answer";"answerhistory";"isgoodanswer";"certitude";"certitudeHistory";"timestamp";"time"
"5";"1980526701";"0";"3";"Epagneul Breton";"[""Epagneul Breton""]";"""[""Epagneul Breton""]""";"1";"7";"""[""7""]""";"1674726464794";"5169"
"6";"1980526701";"1";"7";"Beagle";"[""Beagle""]";"""[""Beagle""]""";"1";"7";"""[""7""]""";"1674726464794";"8697"
"7";"1980526701";"2";"4";"Epagneul Breton";"[""Epagneul Breton""]";"""[""Epagneul Breton""]""";"1";"7";"""[""7""]""";"1674726464794";"11978"
"8";"1980526701";"3";"10";"Beagle";"[""Epagneul Breton""]";"""[""Epagneul Breton""]""";"0";"6";"""[""6""]""";"1674726464794";"17019"
"9";"458689409";"0";"71";"Epagneul Breton";"[""Epagneul Breton""]";"""[""Epagneul Breton"",""Beagle""]""";"1";"7";"""[""7""]""";"1674726560370";"17132"
"10";"458689409";"1";"80";"Beagle";"[""Beagle""]";"""[""Beagle""]""";"1";"7";"""[""7""]""";"1674726560370";"21335"
"11";"458689409";"2";"73";"Epagneul Breton";"[""Epagneul Breton""]";"""[""Epagneul Breton""]""";"1";"7";"""[""7""]""";"1674726560370";"26285"
"12";"458689409";"3";"82";"Beagle";"[""Beagle""]";"""[""Beagle""]""";"1";"7";"""[""7""]""";"1674726560370";"29292"
"13";"357924998";"0";"103";"Epagneul Breton";"[""Epagneul Breton""]";"""[""Epagneul Breton""]""";"1";"5";"""[""5""]""";"1674726536144";"54874"
"14";"357924998";"1";"106";"Beagle";"[""Beagle""]";"""[""Beagle""]""";"1";"7";"""[""7""]""";"1674726536144";"64611"
"15";"17660882";"0";"158";"Epagneul Breton";"[""Epagneul Breton""]";"""[""Epagneul Breton""]""";"1";"5";"""[""5""]""";"1674726596461";"19452"
"16";"357924998";"2";"105";"Epagneul Breton";"[""Epagneul Breton""]";"""[""Epagneul Breton""]""";"1";"5";"""[""5""]""";"1674726536144";"83596"
