"14678530";"99824"
"17660882";"41227"
"80467353";"47762"
"85024445";"140032"
"119441051";"43467"
"131955611";"105889"
"133902583";"81370"
"142954811";"205"
"180258133";"48177"
"196771254";"106113"
"228984559";"52483"
"262911727";"113517"
"295922843";"88350"
"357924998";"92170"
"363017037";"104558"
"377409980";"43653"
"388449964";"100874"
"441640521";"141750"
"458689409";"130821"
"466610485";"81158"
"481913801";"34243"
"507859356";"126442"
"549346719";"54460"
"560490229";"11014"
"583050452";"129605"
"599005385";"57905"
"599444628";"92331"
"611591153";"80173"
"625139785";"140703"
"693440045";"135496"
"743466481";"974"
"743856949";"110255"
"767269714";"62158"
"793298952";"80586"
"795336241";"141727"
"804103807";"140027"
"804217377";"100233"
"806999847";"78191"
"815841812";"80606"
"824423895";"13267"
"849380075";"56949"
"892559485";"37259"
"935701210";"119483"
"936244870";"138434"
"938989565";"92507"
"944417499";"33476"
"953555140";"111848"
"954093584";"42869"
"971022519";"138782"
"1014689737";"138037"
"1025419493";"134394"
"1035382945";"138434"
"1045619732";"138434"
"1048631366";"37743"
"1073991304";"129929"
"1074710196";"113517"
"1087898292";"36639"
"1109685022";"136636"
"1175410912";"109621"
"1210405858";"40158"
"1210559194";"82734"
"1218509953";"57905"
"1230482756";"80669"
"1295002782";"92740"
"1317457185";"134157"
"1335815525";"91676"
"1353411465";"129929"
"1401037852";"48724541"
"1440572811";"133148"
"1470243901";"131051"
"1500215003";"139034"
"1503401706";"130760"
"1523838258";"138765"
"1544295662";"35832"
"1547375846";"141774"
"1578310612";"129479"
"1587382219";"8222"
"1632886404";"89849"
"1635998633";"104580"
"1667217396";"141541"
"1667642363";"115657"
"1681756560";"120413"
"1725339033";"77180"
"1727892562";"141840"
"1741404796";"36601"
"1745097737";"136078"
"1750768992";"37259"
"1762848735";"141449"
"1767990963";"93892"
"1779082641";"54286"
"1781425021";"94684"
"1802173599";"35590"
"1828759798";"124186"
"1843921015";"37743"
"1860712576";"141807"
"1882877449";"90940"
"1885150418";"57905"
"1901124254";"133091"
"1902681900";"974"
"1914995014";"61814"
"1917651551";"31862"
"1947541489";"141492"
"1947806725";"57905"
"1971203126";"58028"
"1980526701";"136786"
"1984286702";"51216"
"1998766064";"124457"
"2004168492";"141541"
"2007268345";"75326"
"2024578000";"90083"
"2086220568";"140821"
"2090335198";"129075"
"2091459923";"138037"
"2120742539";"974"
"2121039006";"75679"
"2122633351";"101105100"
