"59";"46467897";"6";"62";"Foxhound";"[\"Beagle\"]";"\"[\"Beagle\"]\"";"0";"6";"\"[\"6\"]\"";"1665146331104";"154556"
"121";"46467897";"13";"68";"Foxhound";"[\"Beagle\",\"Foxhound\"]";"\"[\"Foxhound\",\"Beagle\"]\"";"1";"6";"\"[\"6\"]\"";"1665146331104";"232492"
"34";"46467897";"3";"77";"Berger des Shetland";"[\"Berger des Shetland\"]";"\"[\"Berger des Shetland\"]\"";"1";"6";"\"[\"6\"]\"";"1665146331104";"97621"
"27";"46467897";"2";"78";"Basset";"[\"Basset\"]";"\"[\"Basset\"]\"";"1";"6";"\"[\"6\"]\"";"1665146331104";"74685"
"39";"46467897";"4";"82";"Beagle";"[\"Beagle\"]";"\"[\"Beagle\"]\"";"1";"6";"\"[\"6\"]\"";"1665146331104";"108054"
"101";"46467897";"11";"85";"Beagle";"[\"Basset\"]";"\"[\"Basset\"]\"";"0";"6";"\"[\"6\"]\"";"1665146331104";"212539"
"87";"46467897";"9";"86";"Basset";"[\"Basset\"]";"\"[\"Basset\"]\"";"1";"6";"\"[\"6\"]\"";"1665146331104";"192708"
"7";"46467897";"0";"88";"Colley";"[\"Colley\"]";"\"[\"Colley\"]\"";"1";"5";"\"[\"5\"]\"";"1665146331104";"12430"
"74";"46467897";"7";"91";"Colley";"[\"Berger des Shetland\",\"Colley\"]";"\"[\"Berger des Shetland\",\"Colley\"]\"";"1";"5";"\"[\"6\",\"5\"]\"";"1665146331104";"174998"
"21";"46467897";"1";"94";"Corgi";"[\"Corgi\"]";"\"[\"Corgi\"]\"";"1";"6";"\"[\"6\"]\"";"1665146331104";"60170"
"95";"46467897";"10";"98";"Berger des Shetland";"[\"Berger des Shetland\"]";"\"[\"Berger des Shetland\"]\"";"1";"6";"\"[\"6\"]\"";"1665146331104";"203543"
"81";"46467897";"8";"100";"Corgi";"[\"Corgi\"]";"\"[\"Corgi\"]\"";"1";"6";"\"[\"6\"]\"";"1665146331104";"186105"
"51";"46467897";"5";"105";"Epagneul Breton";"[\"Epagneul Breton\"]";"\"[\"Epagneul Breton\"]\"";"1";"6";"\"[\"7\",\"6\"]\"";"1665146331104";"136739"
"112";"46467897";"12";"114";"Epagneul Breton";"[\"Epagneul Breton\"]";"\"[\"Epagneul Breton\"]\"";"1";"6";"\"[\"6\"]\"";"1665146331104";"222174"
"46";"77146709";"2";"469";"Basset";"[\"Corgi\",\"Basset\",\"Foxhound\"]";"\"[\"Basset\",\"Corgi\",\"Foxhound\"]\"";"1";"3";"\"[\"3\"]\"";"1665146330895";"128727"
"16";"77146709";"0";"474";"Colley";"[\"Foxhound\",\"Colley\",\"Berger des Shetland\"]";"\"[\"Berger des Shetland\",\"Colley\",\"Foxhound\"]\"";"1";"3";"\"[\"3\"]\"";"1665146330895";"43566"
"83";"77146709";"4";"476";"Beagle";"[\"Foxhound\",\"Beagle\",\"Colley\"]";"\"[\"Colley\",\"Beagle\",\"Foxhound\"]\"";"1";"3";"\"[\"3\"]\"";"1665146330895";"187470"
"218";"77146709";"9";"484";"Basset";"[\"Corgi\",\"Basset\",\"Beagle\"]";"\"[\"Basset\",\"Beagle\",\"Corgi\"]\"";"1";"3";"\"[\"3\"]\"";"1665146330895";"364847"
"177";"77146709";"7";"489";"Colley";"[\"Foxhound\",\"Colley\",\"Berger des Shetland\"]";"\"[\"Berger des Shetland\",\"Colley\",\"Foxhound\"]\"";"1";"4";"\"[\"4\"]\"";"1665146330895";"315206"
"257";"77146709";"11";"491";"Beagle";"[\"Corgi\",\"Foxhound\",\"Epagneul Breton\"]";"\"[\"Epagneul Breton\",\"Foxhound\",\"Corgi\"]\"";"0";"3";"\"[\"3\"]\"";"1665146330895";"414196"
"67";"77146709";"3";"503";"Berger des Shetland";"[\"Foxhound\",\"Beagle\",\"Berger des Shetland\"]";"\"[\"Berger des Shetland\",\"Foxhound\",\"Beagle\"]\"";"1";"3";"\"[\"3\"]\"";"1665146330895";"161769"
"248";"77146709";"10";"511";"Berger des Shetland";"[\"Corgi\",\"Beagle\",\"Berger des Shetland\"]";"\"[\"Corgi\",\"Berger des Shetland\",\"Beagle\"]\"";"1";"3";"\"[\"3\"]\"";"1665146330895";"394747"
"159";"77146709";"6";"517";"Foxhound";"[\"Beagle\",\"Colley\",\"Berger des Shetland\"]";"\"[\"Beagle\",\"Colley\",\"Berger des Shetland\"]\"";"0";"3";"\"[\"3\"]\"";"1665146330895";"288246"
"287";"77146709";"13";"523";"Foxhound";"[\"Foxhound\",\"Beagle\",\"Colley\"]";"\"[\"Foxhound\",\"Beagle\",\"Colley\"]\"";"1";"3";"\"[\"3\"]\"";"1665146330895";"454240"
"107";"77146709";"5";"530";"Epagneul Breton";"[\"Epagneul Breton\"]";"\"[\"Epagneul Breton\"]\"";"1";"5";"\"[\"5\"]\"";"1665146330895";"218831"
"33";"77146709";"1";"535";"Corgi";"[\"Corgi\",\"Basset\",\"Beagle\"]";"\"[\"Basset\",\"Corgi\",\"Beagle\"]\"";"1";"3";"\"[\"3\"]\"";"1665146330895";"96771"
"193";"77146709";"8";"537";"Corgi";"[\"Foxhound\",\"Beagle\",\"Colley\"]";"\"[\"Colley\",\"Beagle\",\"Foxhound\"]\"";"0";"3";"\"[\"3\"]\"";"1665146330895";"336506"
"276";"77146709";"12";"546";"Epagneul Breton";"[\"Corgi\",\"Epagneul Breton\"]";"\"[\"Epagneul Breton\",\"Corgi\"]\"";"1";"5";"\"[\"5\"]\"";"1665146330895";"435446"
"673";"120270871";"2";"539";"Basset";"[\"Basset\"]";"\"[\"Basset\"]\"";"1";"7";"\"[\"7\"]\"";"1665150123252";"199841"
"683";"120270871";"9";"543";"Basset";"[\"Basset\"]";"\"[\"Basset\"]\"";"1";"7";"\"[\"7\"]\"";"1665150123252";"323735"
"675";"120270871";"4";"566";"Beagle";"[\"Foxhound\"]";"\"[\"Foxhound\"]\"";"0";"6";"\"[\"6\"]\"";"1665150123252";"213311"
"680";"120270871";"6";"568";"Foxhound";"[\"Foxhound\"]";"\"[\"Foxhound\"]\"";"1";"6";"\"[\"6\"]\"";"1665150123252";"284145"
"687";"120270871";"13";"575";"Foxhound";"[\"Foxhound\"]";"\"[\"Corgi\",\"Foxhound\"]\"";"1";"7";"\"[\"7\"]\"";"1665150123252";"363733"
"685";"120270871";"11";"579";"Beagle";"[\"Basset\"]";"\"[\"Basset\"]\"";"0";"6";"\"[\"6\"]\"";"1665150123252";"334986"
"671";"120270871";"1";"580";"Corgi";"[\"Corgi\",\"Foxhound\",\"Beagle\"]";"\"[\"Beagle\",\"Corgi\",\"Foxhound\"]\"";"1";"3";"\"[\"3\"]\"";"1665150123252";"168089"
"682";"120270871";"8";"581";"Corgi";"[\"Corgi\"]";"\"[\"Corgi\"]\"";"1";"6";"\"[\"6\"]\"";"1665150123252";"316706"
"674";"120270871";"3";"582";"Berger des Shetland";"[\"Colley\"]";"\"[\"Colley\"]\"";"0";"7";"\"[\"7\"]\"";"1665150123252";"204726"
"684";"120270871";"10";"583";"Berger des Shetland";"[\"Colley\"]";"\"[\"Colley\"]\"";"0";"7";"\"[\"7\"]\"";"1665150123252";"327008"
"660";"120270871";"0";"596";"Colley";"[\"Colley\"]";"\"[\"Colley\"]\"";"1";"1";"\"[\"1\"]\"";"1665150123252";"17742"
"679";"120270871";"5";"602";"Epagneul Breton";"[\"Epagneul Breton\"]";"\"[\"Epagneul Breton\"]\"";"1";"5";"\"[\"5\"]\"";"1665150123252";"258534"
"686";"120270871";"12";"603";"Epagneul Breton";"[\"Corgi\"]";"\"[\"Corgi\"]\"";"0";"6";"\"[\"6\"]\"";"1665150123252";"344146"
"681";"120270871";"7";"605";"Colley";"[\"Colley\"]";"\"[\"Colley\"]\"";"1";"7";"\"[\"7\"]\"";"1665150123252";"291712"
"12";"147270181";"1";"321";"Corgi";"[\"Corgi\",\"Foxhound\",\"Basset\"]";"\"[\"Corgi\",\"Basset\",\"Foxhound\"]\"";"1";"3";"\"[\"3\"]\"";"1665146306899";"58713"
"18";"147270181";"2";"325";"Basset";"[\"Beagle\"]";"\"[\"Beagle\"]\"";"0";"7";"\"[\"7\"]\"";"1665146306899";"74242"
"68";"147270181";"9";"341";"Basset";"[\"Basset\"]";"\"[\"Basset\"]\"";"1";"7";"\"[\"7\"]\"";"1665146306899";"190404"
"62";"147270181";"8";"346";"Corgi";"[\"Corgi\",\"Foxhound\"]";"\"[\"Corgi\",\"Foxhound\"]\"";"1";"3";"\"[\"3\"]\"";"1665146306899";"181018"
"23";"147270181";"4";"360";"Beagle";"[\"Beagle\"]";"\"[\"Beagle\"]\"";"1";"7";"\"[\"7\"]\"";"1665146306899";"93664"
"78";"147270181";"11";"369";"Beagle";"[\"Basset\"]";"\"[\"Basset\"]\"";"0";"7";"\"[\"7\"]\"";"1665146306899";"209392"
"5";"147270181";"0";"388";"Colley";"[\"Colley\"]";"\"[\"Colley\",\"Berger des Shetland\",\"Colley\"]\"";"1";"6";"\"[\"7\",\"7\",\"6\",\"6\"]\"";"1665146306899";"35557"
"54";"147270181";"7";"391";"Colley";"[\"Colley\"]";"\"[\"Colley\"]\"";"1";"7";"\"[\"7\"]\"";"1665146306899";"171007"
"49";"147270181";"6";"400";"Foxhound";"[\"Beagle\"]";"\"[\"Beagle\"]\"";"0";"6";"\"[\"6\"]\"";"1665146306899";"153936"
"91";"147270181";"13";"405";"Foxhound";"[\"Beagle\"]";"\"[\"Basset\",\"Beagle\"]\"";"0";"7";"\"[\"7\"]\"";"1665146306899";"220648"
"20";"147270181";"3";"416";"Berger des Shetland";"[\"Berger des Shetland\"]";"\"[\"Berger des Shetland\"]\"";"1";"6";"\"[\"6\"]\"";"1665146306899";"83296"
"42";"147270181";"5";"421";"Epagneul Breton";"[\"Berger des Shetland\",\"Epagneul Breton\"]";"\"[\"Epagneul Breton\",\"Berger des Shetland\"]\"";"1";"3";"\"[\"3\"]\"";"1665146306899";"137839"
