"11";"46467897";"0";"";\N;"1";"0";"";""
"17";"46467897";"1";"";\N;"1";"0";"";""
"19";"46467897";"2";"";\N;"1";"0";"";""
"24";"46467897";"3";"[\"Berger des Shetland\",\"Colley\"]";"6";"0";"0";"\"[\"Basset\",\"Colley\"]\"";"\"[\"6\"]\""
"27";"46467897";"4";"";\N;"1";"0";"";""
"36";"46467897";"5";"";\N;"1";"0";"";""
"45";"46467897";"6";"[\"Beagle\",\"Foxhound\"]";"6";"0";"0";"\"[\"Foxhound\",\"Foxhound\"]\"";"\"[\"6\"]\""
"56";"46467897";"7";"\"Berger des Shetland\"";"5";"0";"1";"\"[\"Berger des Shetland\"]\"";"\"[\"5\"]\""
"61";"46467897";"8";"";\N;"1";"0";"";""
"63";"46467897";"9";"";\N;"1";"0";"";""
"73";"46467897";"10";"";\N;"1";"0";"";""
"77";"46467897";"11";"[\"Beagle\",\"Basset\",\"Foxhound\"]";"6";"0";"0";"\"[\"Beagle\",\"Foxhound\"]\"";"\"[\"6\"]\""
"82";"46467897";"12";"";\N;"1";"0";"";""
"89";"46467897";"13";"";\N;"1";"1";"";""
"13";"77146709";"0";"\"Berger des Shetland\"";"2";"0";"1";"\"[\"Berger des Shetland\"]\"";"\"[\"2\"]\""
"26";"77146709";"1";"\"Basset\"";"3";"0";"1";"\"[\"Basset\"]\"";"\"[\"3\"]\""
"37";"77146709";"2";"\"Basset\"";"4";"0";"1";"\"[\"Basset\"]\"";"\"[\"4\"]\""
"51";"77146709";"3";"\"Beagle\"";"2";"0";"1";"\"[\"Beagle\"]\"";"\"[\"2\"]\""
"64";"77146709";"4";"\"Colley\"";"2";"0";"1";"\"[\"Colley\"]\"";"\"[\"2\"]\""
"88";"77146709";"5";"[\"Epagneul Breton\",\"Berger des Shetland\"]";"5";"0";"0";"\"[\"Berger des Shetland\"]\"";"\"[\"5\"]\""
"124";"77146709";"6";"";\N;"1";"1";"";""
"134";"77146709";"7";"\"Berger des Shetland\"";"3";"0";"1";"\"[\"Berger des Shetland\"]\"";"\"[\"3\"]\""
"146";"77146709";"8";"[\"Foxhound\",\"Beagle\"]";"3";"0";"1";"\"[\"Beagle\",\"Foxhound\"]\"";"\"[\"3\"]\""
"164";"77146709";"9";"\"Basset\"";"3";"0";"1";"\"[\"Basset\"]\"";"\"[\"5\",\"3\"]\""
"177";"77146709";"10";"\"Berger des Shetland\"";"3";"0";"1";"\"[\"Berger des Shetland\"]\"";"\"[\"3\"]\""
"191";"77146709";"11";"\"Epagneul Breton\"";"3";"0";"1";"\"[\"Epagneul Breton\"]\"";"\"[\"3\"]\""
"204";"77146709";"12";"\"Epagneul Breton\"";"5";"0";"1";"\"[\"Epagneul Breton\"]\"";"\"[\"5\"]\""
"216";"77146709";"13";"\"Colley\"";"3";"0";"1";"\"[\"Colley\"]\"";"\"[\"3\"]\""
"495";"120270871";"0";"";\N;"1";"0";"";""
"500";"120270871";"1";"\"Beagle\"";"7";"0";"1";"\"[\"Beagle\"]\"";"\"[\"3\",\"5\",\"7\"]\""
"501";"120270871";"4";"";\N;"1";"0";"";""
"502";"120270871";"5";"";\N;"1";"0";"";""
"503";"120270871";"6";"";\N;"1";"0";"";""
"504";"120270871";"8";"";\N;"1";"0";"";""
"505";"120270871";"11";"";\N;"1";"0";"";""
"506";"120270871";"12";"";\N;"1";"0";"";""
"5";"147270181";"0";"[\"Colley\",\"Berger des Shetland\"]";"6";"0";"0";"\"[\"Berger des Shetland\"]\"";"\"[\"6\"]\""
"8";"147270181";"1";"[\"Corgi\",\"Foxhound\"]";"2";"0";"1";"\"[\"Foxhound\",\"Corgi\"]\"";"\"[\"2\"]\""
"14";"147270181";"3";"[\"Colley\",\"Berger des Shetland\"]";"6";"0";"0";"\"[\"Colley\"]\"";"\"[\"6\"]\""
"31";"147270181";"5";"\"Berger des Shetland\"";"2";"0";"1";"\"[\"Berger des Shetland\"]\"";"\"[\"2\"]\""
"38";"147270181";"6";"[\"Foxhound\",\"Beagle\"]";"5";"0";"0";"\"[\"Basset\",\"Foxhound\"]\"";"\"[\"6\",\"5\"]\""
