"log_id";"user";"trial";"new_answer";"new_certitude";"cant_answer";"isImprecis";"aHistory";"cHistory"
"95";"17893971";"0";"""Beagle""";"5";"0";"1";"""[""Beagle""]""";"""[""5""]"""
"102";"17893971";"1";"[""Basset"",""Epagneul Breton""]";"5";"0";"0";"""[""Beagle"",""Basset""]""";"""[""5"",""6"",""5"",""5""]"""
"109";"17893971";"2";"[""Basset"",""Beagle""]";"7";"0";"0";"""[""Beagle""]""";"""[""7"",""7""]"""
"112";"17893971";"3";"[""Basset"",""Epagneul Breton""]";"6";"0";"0";"""[""Basset""]""";"""[""6""]"""
"120";"17893971";"4";"[""Epagneul Breton"",""Beagle""]";"6";"0";"0";"""[""Basset"",""Epagneul Breton""]""";"""[""6""]"""
"125";"17893971";"5";"[""Basset"",""Epagneul Breton""]";"6";"0";"0";"""[""Basset""]""";"""[""6""]"""
"233";"104548320";"0";"""Basset""";"2";"0";"1";"""[""Basset""]""";"""[""2""]"""
"234";"104548320";"1";"";NULL;"1";"1";"";""
"235";"104548320";"2";"";NULL;"1";"1";"";""
"238";"104548320";"3";"";NULL;"1";"1";"";""
"240";"104548320";"4";"";NULL;"1";"1";"";""
"241";"104548320";"5";"""Epagneul Breton""";"2";"0";"1";"""[""Epagneul Breton""]""";"""[""2""]"""
"242";"104548320";"6";"";NULL;"1";"0";"";""
"243";"104548320";"7";"";NULL;"1";"1";"";""
"45";"143402256";"0";"""Foxhound""";"3";"0";"1";"""[""Beagle"",""Foxhound"",""Foxhound"",""Foxhound""]""";"""[""4"",""3"",""4"",""3"",""4"",""3""]"""
"49";"143402256";"1";"";NULL;"1";"1";"";""
"59";"143402256";"2";"""Basset""";"5";"0";"1";"""[""Basset""]""";"""[""5""]"""
"61";"143402256";"3";"";NULL;"1";"1";"";""
"68";"143402256";"4";"";NULL;"1";"1";"";""
"70";"143402256";"5";"""Epagneul Breton""";"2";"0";"1";"""[""Epagneul Breton""]""";"""[""2""]"""
"74";"143402256";"6";"""Basset""";"4";"0";"1";"""[""Basset""]""";"""[""4""]"""
"77";"143402256";"7";"";NULL;"1";"1";"";""
"272";"173150999";"0";"[""Beagle"",""Basset""]";"5";"0";"0";"""[""Beagle""]""";"""[""5""]"""
"273";"173150999";"1";"";NULL;"1";"0";"";""
"274";"173150999";"2";"[""Beagle"",""Basset""]";"5";"0";"0";"""[""Basset""]""";"""[""5""]"""
"275";"173150999";"3";"";NULL;"1";"0";"";""
"276";"173150999";"4";"[""Beagle"",""Basset""]";"4";"0";"0";"""[""Basset""]""";"""[""4""]"""
"277";"173150999";"6";"[""Beagle"",""Basset""]";"6";"0";"0";"""[""Beagle""]""";"""[""6""]"""
"278";"173150999";"7";"";NULL;"1";"0";"";""
"245";"190221839";"1";"[""Foxhound"",""Epagneul Breton""]";"5";"0";"0";"""[""Epagneul Breton""]""";"""[""5""]"""
"207";"214154149";"0";"";NULL;"1";"1";"";""
"210";"214154149";"2";"";NULL;"1";"1";"";""
"216";"214154149";"3";"""Beagle""";"5";"0";"1";"""[""Beagle""]""";"""[""5""]"""
"218";"214154149";"4";"";NULL;"1";"1";"";""
"221";"214154149";"6";"";NULL;"1";"0";"";""
"225";"214154149";"7";"";NULL;"1";"1";"";""
"107";"218267808";"0";"[""Beagle"",""Epagneul Breton""]";"5";"0";"0";"""[""Beagle""]""";"""[""5"",""6"",""5""]"""
"115";"218267808";"1";"[""Epagneul Breton"",""Basset""]";"3";"0";"1";"""[""Epagneul Breton"",""Basset""]""";"""[""5"",""3""]"""
"119";"218267808";"2";"[""Epagneul Breton"",""Basset""]";"3";"0";"1";"""[""Epagneul Breton"",""Basset""]""";"""[""3""]"""
"127";"218267808";"3";"""Epagneul Breton""";"1";"0";"1";"""[""Epagneul Breton""]""";"""[""1""]"""
"133";"218267808";"4";"""Epagneul Breton""";"7";"0";"1";"""[""Epagneul Breton""]""";"""[""7""]"""
"138";"218267808";"5";"""Epagneul Breton""";"5";"0";"1";"""[""Epagneul Breton""]""";"""[""5""]"""
"3";"252958784";"0";"[""Foxhound"",""Beagle""]";"5";"0";"0";"""[""Foxhound""]""";"""[""5""]"""
"7";"252958784";"1";"""Epagneul Breton""";"2";"0";"1";"""[""Foxhound"",""Epagneul Breton""]""";"""[""2""]"""
"12";"252958784";"2";"";NULL;"1";"0";"";""
"22";"252958784";"3";"""Foxhound""";"3";"0";"1";"""[""Foxhound""]""";"""[""3""]"""
"50";"252958784";"4";"""Foxhound""";"3";"0";"1";"""[""Foxhound""]""";"""[""3"",""2"",""3""]"""
"65";"252958784";"5";"";NULL;"1";"0";"";""
"72";"252958784";"7";"""Beagle""";"4";"0";"1";"""[""Beagle""]""";"""[""4"",""5"",""4""]"""
"13";"332344480";"0";"""Beagle""";"5";"0";"1";"""[""Beagle""]""";"""[""5""]"""
"20";"332344480";"2";"""Beagle""";"5";"0";"1";"""[""Beagle""]""";"""[""5""]"""
"25";"332344480";"3";"";NULL;"1";"0";"";""
"29";"332344480";"4";"";NULL;"1";"0";"";""
"32";"332344480";"5";"";NULL;"1";"0";"";""
"35";"332344480";"6";"";NULL;"1";"1";"";""
"43";"332344480";"7";"[""Beagle"",""Basset""]";"3";"0";"1";"""[""Beagle"",""Basset""]""";"""[""5"",""3""]"""
"244";"427737685";"0";"""Beagle""";"5";"0";"1";"""[""Beagle""]""";"""[""5""]"""
"246";"427737685";"1";"[""Beagle"",""Foxhound""]";"5";"0";"0";"""[""Beagle""]""";"""[""4"",""5"",""5""]"""
"247";"427737685";"2";"""Beagle""";"5";"0";"1";"""[""Beagle""]""";"""[""5""]"""
"248";"427737685";"3";"""Foxhound""";"4";"0";"1";"""[""Foxhound""]""";"""[""4""]"""
"249";"427737685";"4";"[""Epagneul Breton"",""Beagle""]";"6";"0";"0";"""[""Beagle""]""";"""[""6""]"""
"250";"427737685";"5";"""Epagneul Breton""";"4";"0";"1";"""[""Epagneul Breton""]""";"""[""3"",""4""]"""
"251";"427737685";"7";"""Foxhound""";"4";"0";"1";"""[""Foxhound""]""";"""[""6"",""4""]"""
"93";"453574142";"0";"";NULL;"1";"0";"";""
"101";"453574142";"1";"";NULL;"1";"0";"";""
"106";"453574142";"2";"";NULL;"1";"0";"";""
"111";"453574142";"3";"""Foxhound""";"5";"0";"1";"""[""Foxhound""]""";"""[""5""]"""
"116";"453574142";"4";"";NULL;"1";"0";"";""
"123";"453574142";"5";"""Beagle""";"3";"0";"1";"""[""Beagle""]""";"""[""3""]"""
"128";"453574142";"6";"";NULL;"1";"0";"";""
"131";"453574142";"7";"""Foxhound""";"3";"0";"1";"""[""Foxhound""]""";"""[""3""]"""
"15";"479047052";"0";"[""Beagle"",""Foxhound""]";"6";"0";"0";"""[""Foxhound""]""";"""[""6""]"""
"253";"483576811";"0";"[""Beagle"",""Foxhound""]";"6";"0";"0";"""[""Basset"",""Foxhound""]""";"""[""6"",""6"",""6""]"""
"254";"483576811";"1";"";NULL;"1";"0";"";""
"255";"483576811";"4";"""Foxhound""";"5";"0";"1";"""[""Foxhound""]""";"""[""5""]"""
"257";"483576811";"5";"""Epagneul Breton""";"3";"0";"1";"""[""Epagneul Breton""]""";"""[""3""]"""
"42";"495853448";"1";"""Epagneul Breton""";"5";"0";"1";"""[""Epagneul Breton""]""";"""[""5""]"""
"51";"495853448";"3";"""Beagle""";"5";"0";"1";"""[""Beagle""]""";"""[""5""]"""
"58";"495853448";"4";"";NULL;"1";"0";"";""
"67";"495853448";"7";"""Beagle""";"5";"0";"1";"""[""Beagle""]""";"""[""5""]"""
"186";"516960508";"0";"[""Beagle"",""Epagneul Breton""]";"5";"0";"1";"""[""Beagle"",""Epagneul Breton""]""";"""[""5""]"""
"192";"516960508";"1";"[""Beagle"",""Foxhound""]";"6";"0";"0";"""[""Beagle""]""";"""[""7"",""6""]"""
"212";"516960508";"2";"""Basset""";"6";"0";"1";"""[""Basset""]""";"""[""6""]"""
